feature_set,sampler,model_name,tuned,accuracy,precision,recall,f1,f1_macro,roc_auc,confusion_matrix_path,classification_report_path,roc_curve_path,pr_curve_path
all_features,none,decision_tree,False,0.9204545454545454,0.8645833333333334,0.8469387755102041,0.8556701030927835,0.9003840711542348,0.8978788365739997,outputs/plots/confusion_matrix_all_features_none_decision_tree.png,outputs/reports/classification_report_all_features_none_decision_tree.txt,outputs/plots/roc_curve_all_features_none_decision_tree.png,outputs/plots/precision_recall_curve_all_features_none_decision_tree.png
select_k_best,smote,decision_tree,False,0.9119318181818182,0.8383838383838383,0.8469387755102041,0.8426395939086294,0.8907478048438611,0.8919733247629762,outputs/plots/confusion_matrix_select_k_best_smote_decision_tree.png,outputs/reports/classification_report_select_k_best_smote_decision_tree.txt,outputs/plots/roc_curve_select_k_best_smote_decision_tree.png,outputs/plots/precision_recall_curve_select_k_best_smote_decision_tree.png
all_features,none,random_forest,False,0.9517045454545454,0.9879518072289156,0.8367346938775511,0.9060773480662984,0.9367862839757878,0.9752932669130644,outputs/plots/confusion_matrix_all_features_none_random_forest.png,outputs/reports/classification_report_all_features_none_random_forest.txt,outputs/plots/roc_curve_all_features_none_random_forest.png,outputs/plots/precision_recall_curve_all_features_none_random_forest.png
all_features,none,gradient_boosting,False,0.9517045454545454,0.9879518072289156,0.8367346938775511,0.9060773480662984,0.9367862839757878,0.9703318335208099,outputs/plots/confusion_matrix_all_features_none_gradient_boosting.png,outputs/reports/classification_report_all_features_none_gradient_boosting.txt,outputs/plots/roc_curve_all_features_none_gradient_boosting.png,outputs/plots/precision_recall_curve_all_features_none_gradient_boosting.png
all_features,smoteenn,random_forest,False,0.9517045454545454,0.9879518072289156,0.8367346938775511,0.9060773480662984,0.9367862839757878,0.9787682789651295,outputs/plots/confusion_matrix_all_features_smoteenn_random_forest.png,outputs/reports/classification_report_all_features_smoteenn_random_forest.txt,outputs/plots/roc_curve_all_features_smoteenn_random_forest.png,outputs/plots/precision_recall_curve_all_features_smoteenn_random_forest.png
select_k_best,none,knn,False,0.9517045454545454,0.9879518072289156,0.8367346938775511,0.9060773480662984,0.9367862839757878,0.9447011087899726,outputs/plots/confusion_matrix_select_k_best_none_knn.png,outputs/reports/classification_report_select_k_best_none_knn.txt,outputs/plots/roc_curve_select_k_best_none_knn.png,outputs/plots/precision_recall_curve_select_k_best_none_knn.png
random_forest_importance,none,random_forest,False,0.9517045454545454,0.9879518072289156,0.8367346938775511,0.9060773480662984,0.9367862839757878,0.9752129198135948,outputs/plots/confusion_matrix_random_forest_importance_none_random_forest.png,outputs/reports/classification_report_random_forest_importance_none_random_forest.txt,outputs/plots/roc_curve_random_forest_importance_none_random_forest.png,outputs/plots/precision_recall_curve_random_forest_importance_none_random_forest.png
random_forest_importance,none,gradient_boosting,False,0.9488636363636364,0.9761904761904762,0.8367346938775511,0.9010989010989011,0.9333080712391058,0.9699100112485939,outputs/plots/confusion_matrix_random_forest_importance_none_gradient_boosting.png,outputs/reports/classification_report_random_forest_importance_none_gradient_boosting.txt,outputs/plots/roc_curve_random_forest_importance_none_gradient_boosting.png,outputs/plots/precision_recall_curve_random_forest_importance_none_gradient_boosting.png
random_forest_importance,random_undersampling,svm_rbf,False,0.9460227272727273,0.9647058823529412,0.8367346938775511,0.8961748633879781,0.9298532666268106,0.9779648079704322,outputs/plots/confusion_matrix_random_forest_importance_random_undersampling_svm_rbf.png,outputs/reports/classification_report_random_forest_importance_random_undersampling_svm_rbf.txt,outputs/plots/roc_curve_random_forest_importance_random_undersampling_svm_rbf.png,outputs/plots/precision_recall_curve_random_forest_importance_random_undersampling_svm_rbf.png
random_forest_importance,none,decision_tree,False,0.9346590909090909,0.9213483146067416,0.8367346938775511,0.8770053475935828,0.916258960063716,0.9045878193797205,outputs/plots/confusion_matrix_random_forest_importance_none_decision_tree.png,outputs/reports/classification_report_random_forest_importance_none_decision_tree.txt,outputs/plots/roc_curve_random_forest_importance_none_decision_tree.png,outputs/plots/precision_recall_curve_random_forest_importance_none_decision_tree.png
